GPU 0: NVIDIA A100-SXM4-40GB (UUID: GPU-e3883126-d41d-c007-e678-7574858270e2)
host gpuhost015.jc.rl.ac.uk | CUDA ok | Mon 10 Aug 20:00:56 BST 2026
args: /home/users/dv321/miniforge3/envs/nowcast/bin/python /home/users/dv321/dissertation/Code/3 - Diffusion stage/evaluate_diffusion.py --churn 0.0 --guidance 1.0 --members 8 --steps 50 --limit 3000 --seed 0 --out /home/users/dv321/dissertation_outputs/hpo/sampler/eval --tag _trial_002_r0 --ckpt /home/users/dv321/dissertation_outputs/diffusion_ml_v2/ckpt_ep050.pt --vae /home/users/dv321/dissertation_outputs/vae_v2/vae_ep17.pt --latents-dir /work/scratch-nopw2/dv321/dissertation/latents_ml_ep17 --split val --lead 60 --batch 16
  1632/3000 crops | 0.79 crops/s | eta 29 min
  1648/3000 crops | 0.79 crops/s | eta 28 min
  1664/3000 crops | 0.79 crops/s | eta 28 min
  1680/3000 crops | 0.79 crops/s | eta 28 min
  1696/3000 crops | 0.79 crops/s | eta 27 min
  1712/3000 crops | 0.79 crops/s | eta 27 min
  1728/3000 crops | 0.79 crops/s | eta 27 min
  1744/3000 crops | 0.79 crops/s | eta 26 min
  1760/3000 crops | 0.79 crops/s | eta 26 min
  1776/3000 crops | 0.79 crops/s | eta 26 min
  1792/3000 crops | 0.79 crops/s | eta 25 min
  1808/3000 crops | 0.79 crops/s | eta 25 min
  1824/3000 crops | 0.79 crops/s | eta 25 min
  1840/3000 crops | 0.79 crops/s | eta 24 min
  1856/3000 crops | 0.79 crops/s | eta 24 min
  1872/3000 crops | 0.79 crops/s | eta 24 min
  1888/3000 crops | 0.79 crops/s | eta 23 min
  1904/3000 crops | 0.79 crops/s | eta 23 min
  1920/3000 crops | 0.79 crops/s | eta 23 min
  1936/3000 crops | 0.79 crops/s | eta 22 min
  1952/3000 crops | 0.79 crops/s | eta 22 min
  1968/3000 crops | 0.79 crops/s | eta 22 min
  1984/3000 crops | 0.79 crops/s | eta 21 min
  2000/3000 crops | 0.79 crops/s | eta 21 min
  2016/3000 crops | 0.79 crops/s | eta 21 min
  2032/3000 crops | 0.79 crops/s | eta 20 min
  2048/3000 crops | 0.79 crops/s | eta 20 min
  2064/3000 crops | 0.79 crops/s | eta 20 min
  2080/3000 crops | 0.79 crops/s | eta 19 min
  2096/3000 crops | 0.79 crops/s | eta 19 min
  2112/3000 crops | 0.79 crops/s | eta 19 min
  2128/3000 crops | 0.79 crops/s | eta 18 min
  2144/3000 crops | 0.79 crops/s | eta 18 min
  2160/3000 crops | 0.79 crops/s | eta 18 min
  2176/3000 crops | 0.79 crops/s | eta 17 min
  2192/3000 crops | 0.79 crops/s | eta 17 min
  2208/3000 crops | 0.79 crops/s | eta 17 min
  2224/3000 crops | 0.79 crops/s | eta 16 min
  2240/3000 crops | 0.79 crops/s | eta 16 min
  2256/3000 crops | 0.79 crops/s | eta 16 min
  2272/3000 crops | 0.79 crops/s | eta 15 min
  2288/3000 crops | 0.79 crops/s | eta 15 min
  2304/3000 crops | 0.79 crops/s | eta 15 min
  2320/3000 crops | 0.79 crops/s | eta 14 min
  2336/3000 crops | 0.79 crops/s | eta 14 min
  2352/3000 crops | 0.79 crops/s | eta 14 min
  2368/3000 crops | 0.79 crops/s | eta 13 min
  2384/3000 crops | 0.79 crops/s | eta 13 min
  2400/3000 crops | 0.79 crops/s | eta 13 min
  2416/3000 crops | 0.79 crops/s | eta 12 min
  2432/3000 crops | 0.79 crops/s | eta 12 min
  2448/3000 crops | 0.79 crops/s | eta 12 min
  2464/3000 crops | 0.79 crops/s | eta 11 min
  2480/3000 crops | 0.79 crops/s | eta 11 min
  2496/3000 crops | 0.79 crops/s | eta 11 min
  2512/3000 crops | 0.79 crops/s | eta 10 min
  2528/3000 crops | 0.79 crops/s | eta 10 min
  2544/3000 crops | 0.79 crops/s | eta 10 min
  2560/3000 crops | 0.79 crops/s | eta 9 min
  2576/3000 crops | 0.79 crops/s | eta 9 min
  2592/3000 crops | 0.79 crops/s | eta 9 min
  2608/3000 crops | 0.79 crops/s | eta 8 min
  2624/3000 crops | 0.79 crops/s | eta 8 min
  2640/3000 crops | 0.79 crops/s | eta 8 min
