GPU 0: NVIDIA A100-SXM4-40GB (UUID: GPU-ee251011-af7c-cee8-5f10-127f70ad06c4)
host gpuhost015.jc.rl.ac.uk | CUDA ok | Mon 10 Aug 20:00:56 BST 2026
args: /home/users/dv321/miniforge3/envs/nowcast/bin/python /home/users/dv321/dissertation/Code/3 - Diffusion stage/evaluate_diffusion.py --churn 0.0 --guidance 1.0 --members 4 --steps 25 --limit 3000 --seed 0 --out /home/users/dv321/dissertation_outputs/hpo/sampler/eval --tag _trial_003_r0 --ckpt /home/users/dv321/dissertation_outputs/diffusion_ml_v2/ckpt_ep050.pt --vae /home/users/dv321/dissertation_outputs/vae_v2/vae_ep17.pt --latents-dir /work/scratch-nopw2/dv321/dissertation/latents_ml_ep17 --split val --lead 60 --batch 16
  1632/3000 crops | 2.78 crops/s | eta 8 min
  1648/3000 crops | 2.78 crops/s | eta 8 min
  1664/3000 crops | 2.78 crops/s | eta 8 min
  1680/3000 crops | 2.78 crops/s | eta 8 min
  1696/3000 crops | 2.78 crops/s | eta 8 min
  1712/3000 crops | 2.78 crops/s | eta 8 min
  1728/3000 crops | 2.78 crops/s | eta 8 min
  1744/3000 crops | 2.78 crops/s | eta 8 min
  1760/3000 crops | 2.78 crops/s | eta 7 min
  1776/3000 crops | 2.78 crops/s | eta 7 min
  1792/3000 crops | 2.78 crops/s | eta 7 min
  1808/3000 crops | 2.77 crops/s | eta 7 min
  1824/3000 crops | 2.77 crops/s | eta 7 min
  1840/3000 crops | 2.77 crops/s | eta 7 min
  1856/3000 crops | 2.77 crops/s | eta 7 min
  1872/3000 crops | 2.77 crops/s | eta 7 min
  1888/3000 crops | 2.77 crops/s | eta 7 min
  1904/3000 crops | 2.77 crops/s | eta 7 min
  1920/3000 crops | 2.77 crops/s | eta 6 min
  1936/3000 crops | 2.77 crops/s | eta 6 min
  1952/3000 crops | 2.77 crops/s | eta 6 min
  1968/3000 crops | 2.77 crops/s | eta 6 min
  1984/3000 crops | 2.77 crops/s | eta 6 min
  2000/3000 crops | 2.77 crops/s | eta 6 min
  2016/3000 crops | 2.77 crops/s | eta 6 min
  2032/3000 crops | 2.77 crops/s | eta 6 min
  2048/3000 crops | 2.77 crops/s | eta 6 min
  2064/3000 crops | 2.77 crops/s | eta 6 min
  2080/3000 crops | 2.77 crops/s | eta 6 min
  2096/3000 crops | 2.77 crops/s | eta 5 min
  2112/3000 crops | 2.77 crops/s | eta 5 min
  2128/3000 crops | 2.77 crops/s | eta 5 min
  2144/3000 crops | 2.77 crops/s | eta 5 min
  2160/3000 crops | 2.77 crops/s | eta 5 min
  2176/3000 crops | 2.77 crops/s | eta 5 min
  2192/3000 crops | 2.77 crops/s | eta 5 min
  2208/3000 crops | 2.77 crops/s | eta 5 min
  2224/3000 crops | 2.77 crops/s | eta 5 min
  2240/3000 crops | 2.77 crops/s | eta 5 min
  2256/3000 crops | 2.77 crops/s | eta 4 min
  2272/3000 crops | 2.77 crops/s | eta 4 min
  2288/3000 crops | 2.77 crops/s | eta 4 min
  2304/3000 crops | 2.77 crops/s | eta 4 min
  2320/3000 crops | 2.77 crops/s | eta 4 min
  2336/3000 crops | 2.77 crops/s | eta 4 min
  2352/3000 crops | 2.77 crops/s | eta 4 min
  2368/3000 crops | 2.77 crops/s | eta 4 min
  2384/3000 crops | 2.77 crops/s | eta 4 min
  2400/3000 crops | 2.77 crops/s | eta 4 min
  2416/3000 crops | 2.77 crops/s | eta 4 min
  2432/3000 crops | 2.77 crops/s | eta 3 min
  2448/3000 crops | 2.77 crops/s | eta 3 min
  2464/3000 crops | 2.77 crops/s | eta 3 min
  2480/3000 crops | 2.77 crops/s | eta 3 min
  2496/3000 crops | 2.77 crops/s | eta 3 min
  2512/3000 crops | 2.77 crops/s | eta 3 min
  2528/3000 crops | 2.77 crops/s | eta 3 min
  2544/3000 crops | 2.77 crops/s | eta 3 min
  2560/3000 crops | 2.77 crops/s | eta 3 min
  2576/3000 crops | 2.77 crops/s | eta 3 min
  2592/3000 crops | 2.77 crops/s | eta 2 min
  2608/3000 crops | 2.77 crops/s | eta 2 min
  2624/3000 crops | 2.77 crops/s | eta 2 min
  2640/3000 crops | 2.76 crops/s | eta 2 min
  2656/3000 crops | 2.76 crops/s | eta 2 min
  2672/3000 crops | 2.76 crops/s | eta 2 min
  2688/3000 crops | 2.76 crops/s | eta 2 min
  2704/3000 crops | 2.76 crops/s | eta 2 min
  2720/3000 crops | 2.76 crops/s | eta 2 min
  2736/3000 crops | 2.76 crops/s | eta 2 min
  2752/3000 crops | 2.76 crops/s | eta 1 min
  2768/3000 crops | 2.76 crops/s | eta 1 min
  2784/3000 crops | 2.76 crops/s | eta 1 min
  2800/3000 crops | 2.76 crops/s | eta 1 min
  2816/3000 crops | 2.76 crops/s | eta 1 min
  2832/3000 crops | 2.76 crops/s | eta 1 min
  2848/3000 crops | 2.76 crops/s | eta 1 min
  2864/3000 crops | 2.76 crops/s | eta 1 min
  2880/3000 crops | 2.76 crops/s | eta 1 min
  2896/3000 crops | 2.76 crops/s | eta 1 min
  2912/3000 crops | 2.76 crops/s | eta 1 min
  2928/3000 crops | 2.76 crops/s | eta 0 min
  2944/3000 crops | 2.76 crops/s | eta 0 min
  2960/3000 crops | 2.76 crops/s | eta 0 min
  2976/3000 crops | 2.76 crops/s | eta 0 min
  2992/3000 crops | 2.76 crops/s | eta 0 min
  3000/3000 crops | 2.76 crops/s | eta 0 min

=== val split, 3000 crops, 4 members ===
  model_mean     MAE 0.286 | RMSE 0.931 | CSI@1 0.384 | CSI@8 0.080
  model_member   MAE 0.332 | RMSE 1.166 | CSI@1 0.323 | CSI@8 0.064
  advection      MAE 0.323 | RMSE 1.129 | CSI@1 0.326 | CSI@8 0.040
  persistence    MAE 0.379 | RMSE 1.261 | CSI@1 0.246 | CSI@8 0.050
  CRPS (fair)    0.1690  (advection MAE 0.323)
  spread/RMSE    0.871 | outliers 0.459 (ideal 0.400)
  PSD 2-8 km     band power 0.964 (mean-of-ratios 0.894) | advection 0.747 / 0.610, member field, 200 crops
plots -> /home/users/dv321/dissertation_outputs/hpo/sampler/eval/diffusion_eval_trial_003_r0.png
tables -> /home/users/dv321/dissertation_outputs/hpo/sampler/eval/diffusion_eval_trial_003_r0.md

done in 18.1 min
